Organization Name,Organization Name URL,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Operating Status,Full Description,Last Funding Type,Headquarters Location,Headquarters Regions,Description,Founded Date,Founded Date Precision,Industry Groups,Industries,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount Currency (in USD),Top 5 Investors,IPO Status,Valuation at IPO,Valuation at IPO Currency,Valuation at IPO Currency (in USD),Website,Diversity Spotlight (US Headquarters Only),Estimated Revenue Range,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Twitter,Facebook,LinkedIn,Contact Email,Phone Number,Number of Articles,Hub Tags,Actively Hiring,Investment Stage,Investor Type,Number of Investments,Number of Portfolio Organizations,Number of Lead Investments,Number of Diversity Investments,Number of Exits,Number of Exits (IPO),Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),School Type,School Program,Number of Enrollments,School Method,Number of Founders (Alumni),Number of Alumni,Number of Founders,Founders,Number of Employees,Number of Funding Rounds,Funding Status,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount Currency (in USD),Last Equity Funding Type,Number of Lead Investors,Number of Investors,Acquisition Status,Number of Acquisitions,Transaction Name,Transaction Name URL,Acquired by,Acquired by URL,Announced Date,Announced Date Precision,Price,Price Currency,Price Currency (in USD),Acquisition Type,Acquisition Terms,IPO Date,Delisted Date,Delisted Date Precision,Money Raised at IPO,Money Raised at IPO Currency,Money Raised at IPO Currency (in USD),Stock Symbol,Stock Symbol URL,Stock Exchange,Last Leadership Hiring Date,Last Layoff Mention Date,Number of Events,CB Rank (Organization),CB Rank (Company),CB Rank (School),Trend Score (7 Days),Trend Score (30 Days),Trend Score (90 Days),Similar Companies,Contact Job Departments,Number of Contacts,Number of Private Contacts,SEMrush - Monthly Visits,SEMrush - Average Visits (6 months),SEMrush - Monthly Visits Growth,SEMrush - Visit Duration,SEMrush - Visit Duration Growth,SEMrush - Page Views / Visit,SEMrush - Page Views / Visit Growth,SEMrush - Bounce Rate,SEMrush - Bounce Rate Growth,SEMrush - Global Traffic Rank,SEMrush - Monthly Rank Change (#),SEMrush - Monthly Rank Growth,BuiltWith - Active Tech Count,Apptopia - Number of Apps,Apptopia - Downloads Last 30 Days,G2 Stack - Total Products Active,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),Number of Private Notes,Tags
The Yes,https://www.crunchbase.com/organization/the-yes,30000000,USD,30000000,Active,"They are co-located in Silicon Valley and New York City, but are open to great talent anywhere. They welcome critical thinkers who are excited to re-write the rules of e-commerce. They promise it will be fun.",Series A,"Burlingame, California, United States","San Francisco Bay Area, West Coast, Western US",The Yes is a next generation AI-powered shopping platform.,2018-01-01,year,"Artificial Intelligence, Commerce and Shopping, Data and Analytics, Internet Services, Science and Engineering, Software","Artificial Intelligence, E-Commerce, Internet",2019-10-22,30000000,USD,30000000,30000000,USD,30000000,"New Enterprise Associates, Bain Capital Ventures, True Ventures, Forerunner Ventures, Comcast Ventures",Private,,,,https://theyes.com,"Women Founded, Women Led",$50M to $100M,2022-06-02,day,,,For Profit,https://twitter.com/theyes,https://www.facebook.com/shoptheyes/,https://www.linkedin.com/company/the-yes/,press@theyes.com,,,,,,,,,,,,,,,,,,,,,,2,"Amit Aggarwal, Julie Bornstein",11-50,1,M&A,30000000,USD,30000000,Series A,,5,Was Acquired,,The Yes acquired by Pinterest,https://www.crunchbase.com/acquisition/pinterest-acquires-the-yes--06f681ae,Pinterest,https://www.crunchbase.com/organization/pinterest,2022-06-02,day,,,,Acquisition,,,,,,,,,,,,,,"9,590","9,562",,0.5,-0.2,-0.1,69,"Engineering, Management, Marketing, Medical & Science, Product",23,,"6,054","12,038.33",8.11%,0,"2,044.44%",1,0%,100%,0%,"2,577,417","-277,644",-9.72%,20,,,10,1,1,Computing; Calculating,Advertising; business,,,,,
Coinshift,https://www.crunchbase.com/organization/coinshift,17500000,USD,17500000,Active,"Coinshift provides a smart treasury management platform that helps businesses and decentralized autonomous organizations manage their crypto assets easily and empowers users to collaborate, approve transactions, and execute mass payouts. Their treasury management solution includes cash management, asset management, risk management, and reporting.",Series A,"Wyoming, Michigan, United States","Great Lakes, Midwestern US",Coinshift builds a crypto treasury management platform for DAOs and companies.,2021-06-01,month,"Financial Services, Payments, Software","Cryptocurrency, Finance, FinTech",2022-05-17,15000000,USD,15000000,17500000,USD,17500000,"Protocol Labs, Gnosis, LongHash Ventures, Tiger Global Management, Alliance DAO",Private,,,,https://coinshift.xyz/,,$10M to $50M,,,,,For Profit,https://twitter.com/0xCoinshift,,https://www.linkedin.com/company/coinshift-finance,,+1 7206630558,10,,,,,,,,,,,,,,,,,,,,1,Tarun Gupta,11-50,3,Early Stage Venture,15000000,USD,15000000,Series A,1,27,,,,,,,,,,,,,,,,,,,,,,,,,,"9,599","9,571",,0.2,3.1,2.7,9,,,,"9,289","9,182",59.47%,57,-85.87%,1.35,35.35%,82.32%,-17.68%,"2,009,579","-778,955",-27.93%,66,,,,,,,,,,,,
Phylum,https://www.crunchbase.com/organization/phylum-5e69,19500000,USD,19500000,Active,"Phylum provides powerful, automated software supply chain risk analysis that protects organizations, defends developers and enables secure innovation. Phylum analyzes open-source packages immediately upon publication to identify risk, and enable policy-driven automation for managing that risk. Phylum currently supports Javascript, Typescript, Python, Ruby, Java, .NET, Go and Rust with more languages coming soon. Phylum integrates seamlessly into CI/CD systems like Github, Gitlab, and more similar to legacy SCA tools, but results in complete supply chain coverage allowing the proactive blocking of dangerous or illegitimate open-source packages. In 2022, Phylum's analysis of open-source packages identified thousands of new malicious packages, malicious authors, and supply chain risks that culminated in a massive improvement to open-source software and the first inaugural BlackHat Innovation Spotlight award.",Series A,"Evergreen, Colorado, United States","Greater Denver Area, Western US","Phylum provides automated software supply chain risk analysis that protects organizations, defends developers and enables secure innovation.",2020-01-01,year,"Consumer Electronics, Hardware, Software","Computer, Open Source, Software",2022-05-03,15000000,USD,15000000,19500000,USD,19500000,"SixThirty, ClearSky, Verissimo Ventures, First In, Atlassian Ventures",Private,,,,https://phylum.io/,,,,,,,For Profit,https://twitter.com/Phylum_IO,,https://www.linkedin.com/company/phylum-io/,support@phylum.io,,7,,,,,,,,,,,,,,,,,,,,3,"Aaron Bray, Louis Lang, Peter Morgan",11-50,2,Early Stage Venture,15000000,USD,15000000,Series A,2,10,,,,,,,,,,,,,,,,,,,,,,,,,,"9,634","9,606",,-0.5,3.4,-0.1,9,"Engineering, Management, Marketing, Operations",9,,"11,596","25,197.33",-29.84%,37,-76.43%,1.17,-20.26%,90.58%,17.73%,"1,739,128","282,645",19.41%,25,,,16,0,1,,Scientific and electric apparatus and instruments,,,,,
Waterplan,https://www.crunchbase.com/organization/waterplan,7125000,USD,7125000,Active,Waterplan is a SaaS platform for companies to manage water availability in their facilities.,Seed,"San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",Waterplan is a SaaS platform for companies to manage water availability in their facilities and supply chain.,2020-12-01,month,Software,"SaaS, Software",2022-04-08,4400000,USD,4400000,7125000,USD,7125000,"Y Combinator, Climate Capital, My Climate Journey Collective, Tom Blomfield, Giant Ventures",Private,,,,https://www.waterplan.com/,,,,,,,For Profit,,,https://www.linkedin.com/company/waterplan-ai/,,,2,,,,,,,,,,,,,,,,,,,,4,"José Ignacio Galindo, Matías Nicolás Comercio Vázquez, Nicolas Wertheimer, Olivia Cesio",11-50,3,Seed,4400000,USD,4400000,Seed,2,17,,,,,,,,,,,,,,,,,,,,,,,,,,"9,640","9,612",,1.7,1.4,2.2,10,"Management, Operations",5,,"2,245",,-64.44%,2,-80%,1.51,9.2%,74.57%,20.59%,"4,494,284","1,851,164",70.04%,30,,,,,,,,,,,,
Prodigal,https://www.crunchbase.com/organization/prodigal-3824,12120000,USD,12120000,Active,"Prodigal is a cloud-based Consumer Finance Intelligence solution that analyzes agent and customer conversations to enhance profits, experience, and compliance. Collection agencies, healthcare providers, and lenders depend on Prodigal to unlock insights that drive win-win financial outcomes. With decades of industry and data science expertise, Prodigal is ready to work with clients to optimize operations and quality assurance. Nearly one in five U.S. borrowers have already engaged with Prodigal during more than 200 million interactions. Headquartered in Mountain View, California, Prodigal’s global team is on a mission to build the intelligence layer that powers Consumer Finance. With the backing of domain experts, technology leaders, and top investors, including Accel, Menlo Ventures, and Y-Combinator, Prodigal is poised to become the next iconic vertical SaaS company. An intent engine that combines the strengths of artificial intelligence (AI), machine learning (ML), and natural language processing (NLP) powers Prodigal’s core apps: ProAssist, ProNotes, and ProVoice. ProAssist guides agents to say and do the right thing every time. ProNotes auto-writes call notes, creating hours of new capacity and freeing agents to focus on experience. ProVoice analyzes and scores 100% of calls to minimize risk and increase QA effectiveness.",Series A,"Mountain View, California, United States","San Francisco Bay Area, Silicon Valley, West Coast","A Consumer Finance Intelligence solution that analyzes agent and customer conversations to enhance profits, experience, and compliance.",2018-06-01,month,"Financial Services, Software","Finance, SaaS, Software",2021-07-22,12000000,USD,12000000,12120000,USD,12120000,"Y Combinator, Accel, Menlo Ventures, MGV, Nicholas Hinrichsen",Private,,,,https://prodigaltech.com/,,,,,,,For Profit,https://twitter.com/prodigaltech,https://www.facebook.com/Prodigal-102777814709166/,https://www.linkedin.com/company/prodigaltech,support@prodigaltech.com,650-802-7795,19,,,,,,,,,,,,,,,,,,,,3,"Sangram Raje, Saransh Garg, Shantanu Gangal",51-100,3,Early Stage Venture,12000000,USD,12000000,Series A,2,7,,,,,,,,,,,,,,,,,,,,,,,,,1,"9,644","9,615",,-0.1,-0.1,-0.3,7,"Engineering, Management, Marketing, Operations, Product, Sales",14,,"6,113","21,586.83",-86.58%,242,-79.1%,1.44,-29.88%,77.8%,169.02%,"2,564,382","1,831,873",250.08%,79,,,7,,,,,40496,USD,40496,,
Kingdomverse,https://www.crunchbase.com/organization/kingdomverse,3600000,USD,3600000,Active,,Seed,"Washington, District of Columbia, United States","Washington DC Metro Area, Southern US","Kingdomverse, a metaverse mobile game developer.",2023-01-01,month,"Financial Services, Other, Payments, Software","Blockchain, Cryptocurrency, Virtual Currency",2023-02-07,3600000,USD,3600000,3600000,USD,3600000,"3Commas, Shima Capital, Infinity Ventures Crypto, Newman Capital, Chiron",Private,,,,https://kingdomverse.xyz/,,,,,,,For Profit,https://twitter.com/kingdomverse_,,,,,1,,,,,,,,,,,,,,,,,,,,,,11-50,1,Seed,3600000,USD,3600000,Seed,,8,,,,,,,,,,,,,,,,,,,,,,,,,,"9,643","9,616",,-0.3,6.3,10,11,,,,"8,164","2,776.17",144.21%,1,-98.51%,1.05,-25.42%,95.32%,59.8%,"2,172,756","-1,643,382",-43.06%,,,,,,,,,,,,,
SKALE Labs,https://www.crunchbase.com/organization/skale-labs,22100000,USD,22100000,Active,"SKALE Labs is a blockchain scalability platform that provides high-speed consensus and empowers dApps to run smart contracts. SKALE acts as a middle-ware layer which provides high-speed consensus and empowers dApps to run smart contracts at the rate of millions per second on platforms such as Ethereum, EOS, and other Smart Contract Blockchain platforms. The SKALE Network is a fully decentralized, open-source P2P network that is run using the SKALE utility token which is staked by dApps and supported by SKALE Mining nodes.",Series B,"San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",SKALE Labs is a blockchain scalability platform that provides high speed consensus and empowers dApps to run smart contracts.,2018-01-01,day,"Financial Services, Information Technology, Internet Services, Other, Payments, Software","Blockchain, Cryptocurrency, Information Technology, Internet, Internet of Things",2020-11-09,,,,22100000,USD,22100000,"Platinum Capital, Galaxy Digital, NGC Ventures, Boost VC, Winklevoss Capital",Private,,,,https://skale.space,,Less than $1M,,,,,For Profit,https://twitter.com/skalelabs,https://www.facebook.com/skalelabs,https://www.linkedin.com/company/skale-labs,hello@skalelabs.com,,20,,,,,,,,,,,,,,,,,,,,2,"Jack O'Holleran, Konstantin Kladko",11-50,6,Early Stage Venture,,,,Series B,1,21,,,,,,,,,,,,,,,,,,,,,,,,,,"9,646","9,618",,0.3,3.6,3.6,10,Engineering,1,,11,,,0,,1,,100%,,"9,571,081",,,65,,,,0,1,,Education; entertainment,,,,,
Quino Energy,https://www.crunchbase.com/organization/quino-energy,9130000,USD,9130000,Active,"Quino Energy manufactures batteries that use specially designed reactants called quinones that are dissolved in water. It is made from low-cost coal tar and wood tar, and is more cost-effective than competing battery technologies at longer storage durations of 5-12 hours. Quino Energy has licensed the quinone flow battery technology from Harvard University, where it was first developed.",Seed,"San Leandro, California, United States","San Francisco Bay Area, West Coast, Western US",Quino Energy manufactures batteries that uses specially designed reactants called quinones that are dissolved in water.,2021-01-01,year,Energy,"Battery, Energy, Energy Storage",2023-02-13,1250000,USD,1250000,4550000,USD,4550000,"US Department of Energy, ANRI, Doral Energy-Tech Ventures, TechEnergy Ventures, Energy Revolution Ventures",Private,,,,https://quinoenergy.com,,,,,,,For Profit,https://twitter.com/quinoenergy,https://www.facebook.com/quinoenergy,https://www.linkedin.com/company/quinoenergy,,,2,,,,,,,,,,,,,,,,,,,,1,Eugene Beh,1-10,3,Seed,1250000,USD,1250000,Seed,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,"9,653","9,625",,-1.2,-1,8,9,Management,2,,"8,205",,-40.54%,153,-80.61%,2.94,-30.33%,63.04%,26.08%,"2,167,253","547,617",33.81%,,,,,1,0,Organic Chemistry,,,,,,
prezent.ai,https://www.crunchbase.com/organization/o-prezent-ai,24300000,USD,24300000,Active,prezent.ai offers an AI-powered platform that supercharges communication productivity for team members and team leaders. Its platform uses machine learning to increase the efficiency and effectiveness of business communication.,Venture - Series Unknown,"Los Altos, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",prezent.ai is an AI-powered presentation productivity platform for enterprise teams.,2021-01-01,year,"Artificial Intelligence, Data and Analytics, Information Technology, Science and Engineering, Software","Artificial Intelligence, Information Technology, Machine Learning, Software",2022-09-27,,,,24300000,USD,24300000,"Greycroft, WestWave Capital, Emergent Ventures, BluePointe Ventures, Patrick Lee",Private,,,,https://prezent.ai/,,,,,,,For Profit,,,https://www.linkedin.com/company/prezent-ai/,,,3,,,,,,,,,,,,,,,,,,,,1,Rajat Mishra,51-100,3,,,,,Venture - Series Unknown,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,"9,656","9,628",,0,-0.2,0,38,"Engineering, Finance, Information Technology, Management, Operations, Product, Sales",12,,"25,528","14,236.67",45.82%,537,42.82%,2.34,14.14%,43.78%,10.11%,"1,061,731","-350,107",-24.8%,44,,,,,,,,,,,,
Engageli,https://www.crunchbase.com/organization/engageli,47500000,USD,47500000,Active,Engageli operates as an inclusive digital learning platform optimized for student success and that delivers engaging teaching and learning experiences across a broad spectrum of needs for higher education.,Series A,"San Mateo, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",Engageli is an inclusive digital learning platform.,2020-08-01,month,"Education, Software","E-Learning, Higher Education",2021-05-11,33000000,USD,33000000,47500000,USD,47500000,"Corner Ventures, Good Friends, Educapital, BRM Capital, Lip-Bu Tan",Private,,,,https://www.engageli.com/,,,,,,,For Profit,,,https://www.linkedin.com/company/engageli/about/,,,5,,,,,,,,,,,,,,,,,,,,6,"Dan Avida, Daphne Koller, Gideon Avida, Jamie Farrell, Joe Peter, Serge Plotkin",11-50,3,Early Stage Venture,33000000,USD,33000000,Series A,3,11,,,,,,,,,,,,,,,,,,,,,,,,,,"9,672","9,644",,0.3,0.2,1.8,10,"Engineering, Management, Marketing, Medical & Science, Operations, Product, Sales",29,,"95,555","56,143.83",111.14%,623,38.75%,3.81,132.65%,76.09%,35.63%,"419,570","-316,438",-42.99%,52,1,16,,1,2,Electric Communication Technique,Scientific and electric apparatus and instruments,,,,,
SaaS Alerts,https://www.crunchbase.com/organization/saas-alerts,22000000,USD,22000000,Active,"SaaS Alerts is a cloud security company built for MSPs to protect and monetize customer SaaS applications. The company is automatically created in PSA tools for an immediate and comprehensive response to data theft, data at risk, and bad actors. SaaS Alerts was founded in 2020 and is based in Wilmington, North Carolina.",Venture - Series Unknown,"Wilmington, North Carolina, United States","East Coast, Southern US",SaaS Alerts is a cloud security company built for MSPs to protect and monetize customer SaaS applications.,2020-01-01,year,"Information Technology, Privacy and Security, Software","Cloud Security, Information Technology, SaaS, Security",2022-09-08,22000000,USD,22000000,22000000,USD,22000000,Insight Partners,Private,,,,https://saasalerts.com/,,,,,,,For Profit,https://twitter.com/SaaSAlerts_,https://www.facebook.com/SaasAlerts/,https://www.linkedin.com/company/saas-alerts/,support@saasalerts.com,910-887-3352,14,,,,,,,,,,,,,,,,,,,,2,"Charles Buck, Seth M. Bostock",11-50,1,,22000000,USD,22000000,Venture - Series Unknown,1,1,,,,,,,,,,,,,,,,,,,,,,,2021-01-19,,,"9,676","9,648",,6.2,6,4.9,2,"Engineering, Management, Marketing, Product",7,,"9,887","15,082.33",-21.53%,247,-73.21%,1.99,-9.35%,33.84%,-32.32%,"1,930,339","220,344",12.89%,78,,,,,,,,,,,,
GrayMatter Robotics,https://www.crunchbase.com/organization/graymatter-robotics,25356000,USD,25356000,Active,"GrayMatter Robotics creates solutions to assist humans in tedious and ergonomically challenging tasks. It develops robotic brains for industrial robots designed to allow them to transform into smart assistants for high-mix low-volume manufacturing applications. It makes AI-brains for robots to make them smart, easy to use and rapidly deployable for complex operations, enabling users to improve their quality of life by leveraging robotics and artificial intelligence. The company was founded in 2020 and is based in Los Angeles, California.",Series A,"Los Angeles, California, United States","Greater Los Angeles Area, West Coast, Western US",GrayMatter Robotics creates solutions to assist humans in tedious and ergonomically challenging tasks.,2020-01-01,year,"Artificial Intelligence, Data and Analytics, Hardware, Science and Engineering, Software","Artificial Intelligence, Machine Learning, Robotics",2022-08-16,20000000,USD,20000000,24100000,USD,24100000,"National Science Foundation, OCA Ventures, B Capital Group, Calibrate Ventures, Swift Ventures",Private,,,,https://www.graymatter-robotics.com,,,,,,,For Profit,https://twitter.com/GrayMatterRobot,https://www.facebook.com/GrayMatterRobotics,https://www.linkedin.com/company/graymatter-robotics,info@graymatter-robotics.com,(818) 794-0874,5,,,,,,,,,,,,,,,,,,,,3,"Ariyan Kabir, Brual Shah, Satyandra Gupta",1-10,4,Early Stage Venture,20000000,USD,20000000,Series A,4,9,,,,,,,,,,,,,,,,,,,,,,,,,,"9,679","9,651",,0.2,2.3,0.9,4,"Engineering, Management",4,,"4,539","4,783.17",-38.58%,151,-57.46%,1.5,-40.36%,75%,0.33%,"3,152,740","805,011",34.29%,38,,,,1,0,Hand Tools; Portable Power-Driven Tools; Manipulators,Scientific and electric apparatus and instruments,,,,,
Viable,https://www.crunchbase.com/organization/viable-fit,10900000,USD,10900000,Active,"Viable develops a qualitative AI designed for business teams. Its platform automates the qualitative analysis of customer feedback. With Feedback Analysis Reports, customer feedback is analyzed and distilled into top complaints, compliments, requests, questions, and more via natural language reports.",Seed,"Oakland, California, United States","San Francisco Bay Area, West Coast, Western US",Viable provides a platform that automates customer feedback analysis to inform business decisions with data-backed insights.,2020-01-01,year,"Artificial Intelligence, Data and Analytics, Information Technology, Science and Engineering, Software","Analytics, Artificial Intelligence, Information Technology, Productivity Tools",2022-05-12,5000000,USD,5000000,10900000,USD,10900000,"GTMfund, Bossanova Investimentos, Craft Ventures, Javelin Venture Partners, Merus Capital",Private,,,,https://askviable.com,,$100M to $500M,,,,,For Profit,https://twitter.com/askviable,https://www.facebook.com/askviable/,https://www.linkedin.com/company/askviable,support@viable.fit,510-708-9829,6,,,,,,,,,,,,,,,,,,,,2,"Daniel Erickson, Jeffrey Erickson",11-50,4,Seed,5000000,USD,5000000,Seed,3,11,,,,,,,,,,,,,,,,,,,,,,,,,,"9,682","9,654",,-0.3,-0.2,3,7,"Engineering, Management, Sales",4,,"46,222","27,675.83",-22.54%,146,-11.52%,1.41,22.24%,67.67%,-25.16%,"705,451","103,221",17.14%,22,,,,,,,,,,,,
